code,currency,unit_price,valid_from,valid_to
BASEPLATED CHAIN GUARD,EUR,54.9,2025-11-10,
CONNECT CHAIN GUARD,EUR,87.8,2025-11-10,
Connect End Restraint,EUR,227.55,2025-11-10,
FP A(B),EUR,427.05,2025-11-10,
FP JV,EUR,426.35,2025-11-10,
FP JV H K,EUR,585.75,2025-11-10,
FP JV LO,EUR,671.9,2025-11-10,
FP JV LOL,EUR,705.25,2025-11-10,
FP N,EUR,421.05,2025-11-10,
FP N LO,EUR,706.55,2025-11-10,
FP P(B),EUR,333.55,2025-11-10,
FP P(B) H K,EUR,520.45,2025-11-10,
FP P(B) LO,EUR,598.7,2025-11-10,
FP TC,EUR,467.75,2025-11-10,
FP TC H K,EUR,618.5,2025-11-10,
FP TC LO,EUR,785.05,2025-11-10,
Field Connecting Plates,EUR,46.65,2025-11-10,
GP A(B),EUR,488.85,2025-11-10,
GP JV,EUR,454.35,2025-11-10,
GP JV H K,EUR,645.95,2025-11-10,
GP JV LO,EUR,731.15,2025-11-10,
GP JV LOL,EUR,826.55,2025-11-10,
GP N,EUR,496.2,2025-11-10,
GP N LO,EUR,779.25,2025-11-10,
GP P(B),EUR,401.05,2025-11-10,
GP P(B) H K,EUR,570.8,2025-11-10,
GP P(B) LO,EUR,649.05,2025-11-10,
GP TC,EUR,551.35,2025-11-10,
GP TC H K,EUR,696.9,2025-11-10,
GP TC LO,EUR,865.7,2025-11-10,
Gauge Connecting PlateS,EUR,122.6,2025-11-10,
HANDLEBAR LINK,EUR,531.15,2025-11-10,
INTERLOCKER CHAIN GUARD,EUR,111.4,2025-11-10,
LINK CHAIN GUARD,EUR,59.05,2025-11-10,
LOOP,EUR,512.7,2025-11-10,
Link Connector,EUR,127.5,2025-11-10,
Link End Restraint,EUR,227.45,2025-11-10,
Movement Restrictor,EUR,190.7,2025-11-10,
NGP JV,EUR,387.55,2025-11-10,
NGP JV H K,EUR,598.6,2025-11-10,
NGP JV LO,EUR,641.05,2025-11-10,
NGP N,EUR,434.2,2025-11-10,
NGP P(B),EUR,349.55,2025-11-10,
NGP TC,EUR,482.45,2025-11-10,
NGP TC H K,EUR,635.8,2025-11-10,
PVC AEB @ 1.8m,EUR,122.15,2025-11-10,
PVC AEB @ 3.6m,EUR,152.45,2025-11-10,
REB TC,EUR,365.25,2025-11-10,
Rubber Edge Beam Baseplate,EUR,71.8,2025-11-10,
SWFP JV,EUR,496.75,2025-11-10,
SWFP JV H K,EUR,812.55,2025-11-10,
SWFP JV LOL,EUR,877.9,2025-11-10,
SWFP N LO,EUR,837.65,2025-11-10,
SWFP P(B),EUR,430.8,2025-11-10,
SWFP P(B) H K,EUR,718.35,2025-11-10,
SWFP P(B) LO,EUR,783.05,2025-11-10,
SWFP TC H K,EUR,870.6,2025-11-10,
SWFP TC LO,EUR,930.75,2025-11-10,
Steel AEB @ 1.8m,EUR,213.05,2025-11-10,
Steel AEB @ 3.6m,EUR,349.5,2025-11-10,
Strand Movement Restrictor,EUR,190.7,2025-11-10,
WFP A(B),EUR,476.35,2025-11-10,
WFP JV,EUR,447.45,2025-11-10,
WFP JV H K,EUR,653.1,2025-11-10,
WFP JV LOL,EUR,766.25,2025-11-10,
WFP N,EUR,496.1,2025-11-10,
WFP N LO,EUR,755.2,2025-11-10,
WFP P(B),EUR,389.75,2025-11-10,
WFP P(B) H K,EUR,575.1,2025-11-10,
WFP P(B) LO,EUR,652.35,2025-11-10,
WFP TC,EUR,551.2,2025-11-10,
WFP TC H K,EUR,697.65,2025-11-10,
WFP TC LO,EUR,839.1,2025-11-10,
WGP A(B),EUR,536.05,2025-11-10,
WGP JV,EUR,488.9,2025-11-10,
WGP JV H K,EUR,691.35,2025-11-10,
WGP N,EUR,540.7,2025-11-10,
WGP N LO,EUR,834.5,2025-11-10,
WGP P(B),EUR,438.55,2025-11-10,
WGP P(B) H K,EUR,608.6,2025-11-10,
WGP P(B) LO,EUR,686.85,2025-11-10,
WGP TC,EUR,600.75,2025-11-10,
WGP TC H K,EUR,755.65,2025-11-10,
WGP TC LO,EUR,927.2,2025-11-10,
ZR Turret,EUR,46.8,2025-11-10,
ZR Winged,EUR,59.9,2025-11-10,
ZR Winged 1UT,EUR,59.9,2025-11-10,
